Nazwa firmy,Profil dzialalnosci,Mail,www,tel,Adres siedziby,Kod Pocztowy,Miejscowosc,Wojewodztwo,Nazwa profilu aluminiowe,Nazwa okucia alu,Nazwa profilu PCV,Nazwa okucia PCV,,,,
100 AL,Hurtownia,prozori@100al.hr?,100al.hr,+385 / 51 / 250 880,�AVLE,  -   ,CHORWACJA,ZAGRANICA,Aluprof,Master,Aluplast,Winkhaus,,,,
2M SYSTEM,Producent PCV,biuro@2msystem.pl,2msystem.pl,48 513 189 519,JAGODOWA 5,42-470,BRUDZOWICE,SLASKIE,Aliplast,Fapim,Veka,Siegenia,,,,
3-SKI,Producent Alu,biuro@3ski.eu,3ski.eu,85 675 18 91,WYSOCKIEGO 70,15-167,BIALYSTOK,PODLASKIE,Ponzio,Stac,Rehau,Winkhaus,,,,
4 STAR WINDOWS,Producent drzwi stalowych,info@4starwindows.nl,https://www.4starwindows.nl/,703070616,AA DEN HAAG,  -   ,HOLANDIA,ZAGRANICA,Yawal,Master,Vital,Siegenia,,,,
4TECH,Sklep internetowy,grzegorz@fourtech.pl,fourtech.pl,48 696 576 962,STARE BIELICE 78�,75-001,KOSZALIN,ZACHODNIO POMOSKIE,SAPA,Fapim,Deco,Winkhaus,,,,
A&B GLASS,Hurtownia,enquiries@abglass.co.uk,abglass.co.uk,1 787 880 099,SUDBURY,  -   ,WIELKA BRYTANIA,ZAGRANICA,Morad,Stac,Schuco,Siegenia,,,,
A. KARAOLIAS & CO LTD,Producent PCV,karaolias@spidernet.com.cy,cyprusaluminium.com,22437826,NICOSIA,  -   ,CYPR,ZAGRANICA,Blyweerth,Master,Profine,Winkhaus,,,,
A.B.S.,Producent Alu,abs@abs.hr,abs.hr,385 (0)52 887 120,PI?AN,  -   ,CHORWACJA,ZAGRANICA,Reynaers,Fapim,Aluplast,Siegenia,,,,
AB-JACEK,Producent drzwi stalowych,abjacek@wp.pl,,58 588 47 12,KAROLEWO 4,83-251,PINCZYN,POMORSKIE,Aluprof,Stac,Veka,Winkhaus,,,,
ABADAX,Sklep internetowy,info@abadax.pl,abadax.pl,607 327 010,TRAKT LUBELSKI 200,04-766,WARSZAWA,MAZOWIECKIE,Aliplast,Master,Rehau,Siegenia,,,,
ABAKUS,Hurtownia,aluminium@abakus-okna.com.pl,abakus-okna.com.pl,+48 85 713 09 88,UL. MICKIEWICZA 76,16-070,CHOROSZCZ,PODLASKIE,Ponzio,Fapim,Vital,Winkhaus,,,,
ABARIS,Producent PCV,abaris@zimowe-ogrody.pl,www.zimowe-ogrody.pl,660 684 052,NIEWIADOW 20/2,97-225,UJAZD,LODZKIE,Yawal,Stac,Deco,Siegenia,,,,
ABC DARPI,Hurtownia,,,,ZDZIERSKO 1 A,89-210,�ABISZYN,BRAK DANYCH,Aluprof,Master,Schuco,Winkhaus,,,,
ABC PLAST,Producent PCV,,,,PRIZREN,  -   ,KOSOWO,ZAGRANICA,Aliplast,Fapim,Profine,Siegenia,,,,
ABERCOM,Producent Alu,,,,,  -   ,ARGENTYNA,ZAGRANICA,Ponzio,Stac,Aluplast,Winkhaus,,,,
